_id,Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Motor(cilindraje),Placa,Tapizado,Dirección,Entrada desde,Cuotas desde,Número de cuotas,Tipo de Motor
673ab1bf1a5f1961c1ed1b28,2015,158,19.5,Quito,Negociable,USED,Chevrolet,Mini van (MPV),N300 MAX CARGO 1.2L TM AC,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b29,2011,163000,12.9,Quito,Negociable,USED,Kia,Todoterreno,Sorento,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b2a,2019,106417,17.9,Quito,Negociable,USED,Great Wall,Camioneta Doble Cabina,WINGLE 5,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b2b,2012,200000,59.9,Quito,Negociable,USED,Ford,Todoterreno,Ranger,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b2c,2011,233978,30.9,Cuenca,Fijo,USED,Chevrolet,Camioneta Cabina Simple,LUV DMax CS,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b2d,2018,89000,46.9,Ambato,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b2e,2012,109000,14.9,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),GOL 1.6,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b2f,2018,50000,4.9,Quito,Negociable,USED,Toyota,Todoterreno,Land Cruiser Prado TX,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b30,2018,45000,94.99,Quito,Negociable,USED,Peugeot,Todoterreno,3008,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b31,2018,40000,16.7,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b32,2007,294,17.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b33,1993,1111111,36,Quito,Negociable,USED,Ford,Sedán,Escort,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b34,2023,0,8.3,Quito,Fijo,NEW,Mercedes Benz,Otro,A35 AMG,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b35,1994,221052,11.9,Quito,Fijo,USED,Peugeot,Sedán,BERLINA 306 XT 1.8,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b36,2018,95000,21.99,Quito,Negociable,USED,Renault,Todoterreno,Duster 1.6,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b37,2021,39744,,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Polo,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b38,2020,23119,,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b39,1992,334,,Quito,Negociable,USED,Chevrolet,Todoterreno,Trooper 5P,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b3a,2006,298,,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b3b,2015,119000,,Ambato,Fijo,USED,Great Wall,Camioneta Doble Cabina,WINGLE 5,#1709267,106417 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Crema,2,2200,Tungurahua,,,,,,
673ab1bf1a5f1961c1ed1b3c,2010,248000,21.5,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b3d,2022,47,114.99,Quito,Negociable,USED,Jeep,Todoterreno,Rubicon 4xe,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b3e,2003,116000,12.7,Quito,Fijo,USED,Audi,Hatchback (5 Puertas),A3,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b3f,2002,311366,15.9,Quito,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
