Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistemadeclimatización,Tracción,Color,Últimonúmerodelaplaca,Dirección,Motor(cilindraje),Tapizado,Placa,TipodeMotor,Entradadesde,Cuotasdesde,Númerodecuotas
2012,86000,16.0,Quito,Fijo,USED,Ford,Todoterreno,Escape,,,,,,,,,,,,,,,,,
2019,48399,13.2,Cuenca,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2018,29000,17.0,Guayaquil,Negociable,USED,Suzuki,Todoterreno Ligero,S-Cross,,,,,,,,,,,,,,,,,
2015,150000,16.8,Cuenca,Negociable,USED,Suzuki,Todoterreno,GRAN VITARA SZ NEXT,,,,,,,,,,,,,,,,,
2013,171000,26.4,Quito,Negociable,USED,Kia,Todoterreno,Sportage,#1722523,72472 Kms,Eléctricos,Tiptronic,Gasolina,,,,,,,,,,,,
2011,81500,14.2,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva Sport V6 3.0,,,,,,,,,,,,,,,,,
2012,187400,8.2,Cuenca,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,
2020,32000,13.2,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2017,80000,24.9,Cuenca,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,
2017,117000,17.5,Cuenca,Fijo,USED,Chevrolet,Todoterreno,GRAND VITARA SZ NEXT 2.4 4X2,,,,,,,,,,,,,,,,,
2012,114000,12.8,Cuenca,Negociable,USED,Chevrolet,Sedán,Cruze,,,,,,,,,,,,,,,,,
2019,80000,36.9,Quito,Negociable,USED,Toyota,Camioneta Cabina Simple,Hilux CS 4x4,,,,,,,,,,,,,,,,,
2022,23000,44.5,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux SR AC CD,,,,,,,,,,,,,,,,,
2017,17000,60.0,Cuenca,Negociable,USED,BMW,Todoterreno,X3,,,,,,,,,,,,,,,,,
2017,130000,17.5,Quito,Negociable,USED,Chevrolet,Todoterreno,GRAND VITARA SZ NEXT 2.4 4X2,,,,,,,,,,,,,,,,,
