_id,Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Dirección,Motor(cilindraje),Tapizado,Placa,Tipo de Motor
673cb4979cca20c8716858b2,2016,71000,40.9,Loja,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,
673cb4979cca20c8716858b3,2016,98000,23.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,
673cb4979cca20c8716858b4,2022,39000,37.9,Quito,Negociable,USED,Toyota,Todoterreno,RAV 4,,,,,,,,,,,,,,
673cb4979cca20c8716858b5,2008,224000,10.9,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,
673cb4979cca20c8716858b6,2013,151000,26.5,Riobamba,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,
673cb4979cca20c8716858b7,2019,76158,14.9,Quito,Negociable,USED,DongFeng,Crossover,AX7,,,,,,,,,,,,,,
673cb4979cca20c8716858b8,2020,32000,17.9,Quito,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,
673cb4979cca20c8716858b9,2017,218000,22,Guayaquil,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,
673cb4979cca20c8716858ba,2018,22000,25.9,Quito,Negociable,USED,Ford,Todoterreno,Escape S Plus,,,,,,,,,,,,,,
673cb4979cca20c8716858bb,2019,50214,13.5,Quito,Negociable,USED,Chery,Crossover,Tiggo 2,,,,,,,,,,,,,,
673cb4979cca20c8716858bc,2012,293930,18.5,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,
673cb4979cca20c8716858bd,2017,125178,19.8,Quito,Negociable,USED,JAC,Van Pasajeros,HFC6591KH,,,,,,,,,,,,,,
673cb4979cca20c8716858be,2021,35000,16.9,Quito,Negociable,USED,Kia,Crossover,Stonic,,,,,,,,,,,,,,
673cb4979cca20c8716858bf,2014,118000,14.8,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 5P 4X4,,,,,,,,,,,,,,
673cb4979cca20c8716858c0,2018,45600,34.6,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok TDI,,,,,,,,,,,,,,
673cb4979cca20c8716858c1,2020,61000,18.6,Quito,Negociable,USED,Kia,Todoterreno,Soul,,,,,,,,,,,,,,
673cb4979cca20c8716858c2,1986,230875,7.9,Quito,Fijo,USED,Mercedes Benz,Sedán,E 190,,,,,,,,,,,,,,
673cb4979cca20c8716858c3,2019,28000,28,Guayaquil,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,
673cb4979cca20c8716858c4,2019,32000,16.7,Quito,Negociable,USED,Peugeot,Sedán,301,,,,,,,,,,,,,,
673cb4979cca20c8716858c5,2018,50000,29.4,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,
673cb4979cca20c8716858c6,2020,98000,12.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,
673cb4979cca20c8716858c7,2019,48000,52.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C200 AMG,,,,,,,,,,,,,,
673cb4979cca20c8716858c8,2013,128748,18.9,Quito,Negociable,USED,Ford,Todoterreno,Edge Limited,,,,,,,,,,,,,,
673cb4979cca20c8716858c9,2013,80000,18.9,Quito,Negociable,USED,Ford,Sedán,Edge,,,,,,,,,,,,,,
673cb4979cca20c8716858ca,2019,27000,8.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,
673cb4979cca20c8716858cb,2019,27000,8.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,
673cb4979cca20c8716858cc,2019,27000,8.9,Quito,Negociable,USED,Chery,Hatchback (5 Puertas),Q5,,,,,,,,,,,,,,
673cb4979cca20c8716858cd,1990,100000,10,Quito,Negociable,USED,Suzuki,Otro,Forsa,,,,,,,,,,,,,,
673cb4979cca20c8716858ce,1979,300,11.9,Quito,Negociable,USED,Volkswagen,Hatchback (3 Puertas),Scirocco,,,,,,,,,,,,,,
673cb4979cca20c8716858cf,2007,300,35,Quito,Negociable,USED,Peugeot,Hatchback (3 Puertas),206,,,,,,,,,,,,,,
673cb4979cca20c8716858d0,2022,9400,16.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),JOY,,,,,,,,,,,,,,
