,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Dirección,Motor(cilindraje),Tapizado,Placa,Tipo de Motor,Entrada desde,Cuotas desde,Número de cuotas,Sistemadeclimatización,Últimonúmerodelaplaca,TipodeMotor,Entradadesde,Cuotasdesde,Númerodecuotas
0,71000,40.9,Loja,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,,,,,,,
1,98000,23.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,,,,,,,
2,39000,37.9,Quito,Negociable,USED,Toyota,Todoterreno,RAV 4,,,,,,,,,,,,,,,,,,,,,,,
3,224000,10.9,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,,,,,,,
4,151000,26.5,Riobamba,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,,,,,,,
5,76158,14.9,Quito,Negociable,USED,DongFeng,Crossover,AX7,,,,,,,,,,,,,,,,,,,,,,,
6,32000,17.9,Quito,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,,,,,,,
7,218000,22.0,Guayaquil,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,,,,,,,
8,22000,25.9,Quito,Negociable,USED,Ford,Todoterreno,Escape S Plus,,,,,,,,,,,,,,,,,,,,,,,
9,50214,13.5,Quito,Negociable,USED,Chery,Crossover,Tiggo 2,,,,,,,,,,,,,,,,,,,,,,,
10,293930,18.5,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,,,,,,,,,,
11,125178,19.8,Quito,Negociable,USED,JAC,Van Pasajeros,HFC6591KH,,,,,,,,,,,,,,,,,,,,,,,
12,35000,16.9,Quito,Negociable,USED,Kia,Crossover,Stonic,,,,,,,,,,,,,,,,,,,,,,,
13,118000,14.8,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 5P 4X4,,,,,,,,,,,,,,,,,,,,,,,
14,45600,34.6,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok TDI,,,,,,,,,,,,,,,,,,,,,,,
15,61000,18.6,Quito,Negociable,USED,Kia,Todoterreno,Soul,,,,,,,,,,,,,,,,,,,,,,,
16,230875,7.9,Quito,Fijo,USED,Mercedes Benz,Sedán,E 190,,,,,,,,,,,,,,,,,,,,,,,
17,28000,28.0,Guayaquil,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,,,,,,,
18,32000,16.7,Quito,Negociable,USED,Peugeot,Sedán,301,,,,,,,,,,,,,,,,,,,,,,,
19,50000,29.4,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,,,,,,,
20,98000,12.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,,,,,,,
21,48000,52.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C200 AMG,,,,,,,,,,,,,,,,,,,,,,,
22,128748,18.9,Quito,Negociable,USED,Ford,Todoterreno,Edge Limited,,,,,,,,,,,,,,,,,,,,,,,
23,80000,18.9,Quito,Negociable,USED,Ford,Sedán,Edge,,,,,,,,,,,,,,,,,,,,,,,
24,27000,8.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,,,,,,,
25,27000,8.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,,,,,,,
26,27000,8.9,Quito,Negociable,USED,Chery,Hatchback (5 Puertas),Q5,,,,,,,,,,,,,,,,,,,,,,,
27,100000,10.0,Quito,Negociable,USED,Suzuki,Otro,Forsa,,,,,,,,,,,,,,,,,,,,,,,
28,300,11.9,Quito,Negociable,USED,Volkswagen,Hatchback (3 Puertas),Scirocco,,,,,,,,,,,,,,,,,,,,,,,
29,300,35.0,Quito,Negociable,USED,Peugeot,Hatchback (3 Puertas),206,,,,,,,,,,,,,,,,,,,,,,,
30,9400,16.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),JOY,,,,,,,,,,,,,,,,,,,,,,,
31,100000,6.4,Quito,Negociable,USED,Peugeot,Hatchback (5 Puertas),206,,,,,,,,,,,,,,,,,,,,,,,
32,9000,145.0,Quito,Negociable,USED,Chevrolet,Coupé,Corvetee Z06,,,,,,,,,,,,,,,,,,,,,,,
33,117000,47.9,Quito,Negociable,USED,BMW,Coupé,428i,,,,,,,,,,,,,,,,,,,,,,,
34,100000,27.0,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson,#1721128,28000 Kms,Eléctricos,Automática,Gasolina,,,,,,,,,,,,,,,,,,
35,100000,27.0,Quito,Negociable,USED,BMW,Sedán,325i,,,,,,,,,,,,,,,,,,,,,,,
36,46000,64.0,Quito,Negociable,USED,BMW,Coupé,M3,,,,,,,,,,,,,,,,,,,,,,,
37,80000,75.0,Quito,Negociable,USED,BMW,Sedán,M5,,,,,,,,,,,,,,,,,,,,,,,
38,0,36.5,Quito,Negociable,USED,Can-Am,Buggy,Maverick X3,,,,,,,,,,,,,,,,,,,,,,,
39,15000,123.0,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne,,,,,,,,,,,,,,,,,,,,,,,
40,70,25.49,Quito,Negociable,USED,Jetour,Coupé,X70,,,,,,,,,,,,,,,,,,,,,,,
41,0,25.49,Quito,Fijo,NEW,Jetour,Crossover,X70 II MT 1.5T,,,,,,,,,,,,,,,,,,,,,,,
42,296000,17.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX TM 3.0 4X4 DIESEL CD,,,,,,,,,,,,,,,,,,,,,,,
43,154000,16.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,,,,,,,
44,173000,18.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX TM 3.0 4X4 DIESEL CD,,,,,,,,,,,,,,,,,,,,,,,
45,102146,16.9,Quito,Negociable,USED,Hyundai,Sedán,Ioniq Hybrid,,,,,,,,,,,,,,,,,,,,,,,
46,104703,21.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,,,,,,,
47,1527,139.9,Cuenca,Negociable,USED,Jeep,Camioneta Cabina Simple,Gladiator,,,,,,,,,,,,,,,,,,,,,,,
48,50833,44.9,Cuenca,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,,,,,,,
49,117311,11.5,Quito,Negociable,USED,Great Wall,Todoterreno,M4,,,,,,,,,,,,,,,,,,,,,,,
50,36000,13.9,Quito,Negociable,USED,Chery,Todoterreno,TIGGO 2 PRO,,,,,,,,,,,,,,,,,,,,,,,
51,210870,11.9,Quito,Fijo,USED,Fiat,Camioneta Cabina y Media,Strada,,,,,,,,,,,,,,,,,,,,,,,
52,60703,59.99,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLA 250 AMG,,,,,,,,,,,,,,,,,,,,,,,
53,235621,10.9,Quito,Fijo,USED,Chevrolet,Van Pasajeros,N300,,,,,,,,,,,,,,,,,,,,,,,
54,183290,9.9,Quito,Fijo,USED,Honda,Todoterreno,CR-V,,,,,,,,,,,,,,,,,,,,,,,
55,170000,9.9,Quito,Fijo,USED,Chevrolet,Sedán,Aveo Emotion,,,,,,,,,,,,,,,,,,,,,,,
56,242000,19.6,Quito,Negociable,USED,Land Rover,Todoterreno,Discovery,,,,,,,,,,,,,,,,,,,,,,,
57,242000,19.6,Quito,Negociable,USED,Land Rover,Todoterreno,Discovery II,,,,,,,,,,,,,,,,,,,,,,,
58,59000,14.9,Quito,Negociable,USED,Chery,Crossover,Tiggo 2,,,,,,,,,,,,,,,,,,,,,,,
59,59000,14.9,Quito,Negociable,USED,Chery,Todoterreno,Tiggo,,,,,,,,,,,,,,,,,,,,,,,
60,40000,12.6,Quito,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,,,,,,,
61,40000,12.9,Quito,Negociable,USED,Nissan,Sedán,Sentra,,,,,,,,,,,,,,,,,,,,,,,
62,62000,13.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,,,,,,,,,,,,,,,,,,,,,,,
63,127000,10.6,Quito,Negociable,USED,Chevrolet,Hatchback (3 Puertas),Aveo,,,,,,,,,,,,,,,,,,,,,,,
64,126000,10.6,Quito,Negociable,USED,Chevrolet,Hatchback (3 Puertas),Aveo,,,,,,,,,,,,,,,,,,,,,,,
65,96000,10.9,Quito,Negociable,USED,Skoda,Hatchback (5 Puertas),Fabia A5,,,,,,,,,,,,,,,,,,,,,,,
