,Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Motor(cilindraje),Placa,Tapizado,Dirección,Entrada desde,Cuotas desde,Número de cuotas,Tipo de Motor
0,2015,158,19.5,Quito,Negociable,USED,Chevrolet,Mini van (MPV),N300 MAX CARGO 1.2L TM AC,,,,,,,,,,,,,,,,,
1,2011,163000,12.9,Quito,Negociable,USED,Kia,Todoterreno,Sorento,,,,,,,,,,,,,,,,,
2,2019,106417,17.9,Quito,Negociable,USED,Great Wall,Camioneta Doble Cabina,WINGLE 5,,,,,,,,,,,,,,,,,
3,2012,200000,59.9,Quito,Negociable,USED,Ford,Todoterreno,Ranger,,,,,,,,,,,,,,,,,
4,2011,233978,30.9,Cuenca,Fijo,USED,Chevrolet,Camioneta Cabina Simple,LUV DMax CS,,,,,,,,,,,,,,,,,
5,2018,89000,46.9,Ambato,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
6,2012,109000,14.9,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),GOL 1.6,,,,,,,,,,,,,,,,,
7,2018,50000,4.9,Quito,Negociable,USED,Toyota,Todoterreno,Land Cruiser Prado TX,,,,,,,,,,,,,,,,,
8,2018,45000,94.99,Quito,Negociable,USED,Peugeot,Todoterreno,3008,,,,,,,,,,,,,,,,,
9,2018,40000,16.7,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,,,,
10,2007,294,17.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX,,,,,,,,,,,,,,,,,
11,1993,1111111,36.0,Quito,Negociable,USED,Ford,Sedán,Escort,,,,,,,,,,,,,,,,,
12,2023,0,8.3,Quito,Fijo,NEW,Mercedes Benz,Otro,A35 AMG,,,,,,,,,,,,,,,,,
13,1994,221052,11.9,Quito,Fijo,USED,Peugeot,Sedán,BERLINA 306 XT 1.8,,,,,,,,,,,,,,,,,
14,2018,95000,21.99,Quito,Negociable,USED,Renault,Todoterreno,Duster 1.6,,,,,,,,,,,,,,,,,
15,2021,39744,,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Polo,,,,,,,,,,,,,,,,,
16,2020,23119,,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
17,1992,334,,Quito,Negociable,USED,Chevrolet,Todoterreno,Trooper 5P,,,,,,,,,,,,,,,,,
18,2006,298,,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX,,,,,,,,,,,,,,,,,
19,2015,119000,,Ambato,Fijo,USED,Great Wall,Camioneta Doble Cabina,WINGLE 5,#1709267,106417 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Crema,2.0,2200.0,Tungurahua,,,,,,
20,2010,248000,21.5,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
21,2022,47,114.99,Quito,Negociable,USED,Jeep,Todoterreno,Rubicon 4xe,,,,,,,,,,,,,,,,,
22,2003,116000,12.7,Quito,Fijo,USED,Audi,Hatchback (5 Puertas),A3,,,,,,,,,,,,,,,,,
23,2002,311366,15.9,Quito,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
24,2001,292915,19.9,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Limited,,,,,,,,,,,,,,,,,
25,2012,70000,8.9,Quito,Negociable,USED,BMW,Sedán,M3 E90,,,,,,,,,,,,,,,,,
26,2007,180000,56.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Montero 5P,,,,,,,,,,,,,,,,,
27,2021,21000,12.9,Quito,Negociable,USED,Kia,Crossover,Stonic,,,,,,,,,,,,,,,,,
28,2009,224012,11.9,Quito,Negociable,USED,Skoda,Hatchback (5 Puertas),Fabia,,,,,,,,,,,,,,,,,
29,2008,181332,60.9,Quito,Fijo,USED,Honda,Todoterreno,CR-V,,,,,,,,,,,,,,,,,
30,2014,96913,3.9,Quito,Negociable,USED,Jeep,Todoterreno,Wrangler Unlimited Sport,,,,,,,,,,,,,,,,,
31,2012,102000,55.0,Quito,Negociable,USED,Chevrolet,Sedán,Cruze,,,,,,,,,,,,,,,,,
32,2003,199000,44.5,Quito,Fijo,USED,Audi,Sedán,A6,,,,,,,,,,,,,,,,,
33,2007,200000,22.5,Quito,Negociable,USED,Ford,Todoterreno,Explorer Eddie Bauer,,,,,,,,,,,,,,,,,
34,2018,26885,9.8,Quito,Negociable,USED,Audi,Todoterreno,Q5,,,,,,,,,,,,,,,,,
35,1982,500000,24.5,Quito,Negociable,USED,Volkswagen,Coupé,Escarabajo,,,,,,,,,,,,,,,,,
36,2016,105000,8.5,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 Lariat,,,,,,,,,,,,,,,,,
37,2017,30000,23.9,Quito,Fijo,USED,Ford,Camioneta Cabina Simple,F150 XLT CD,,,,,,,,,,,,,,,,,
38,2017,138000,27.9,Ibarra,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX DOHC 2.4,,,,,,,,,,,,,,,,,
39,2019,52125,26.0,Quito,Fijo,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
40,2015,284000,104.99,Cuenca,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
41,2020,56000,56.0,Ibarra,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
42,2013,173000,14.9,Ibarra,Negociable,USED,Kia,Sedán,Rio Stylus,,,,,,,,,,,,,,,,,
43,2019,86102,7.99,Guayaquil,Negociable,USED,Nissan,Todoterreno,Qashqai,,,,,,,,,,,,,,,,,
44,2022,9000,44.9,Cuenca,Negociable,USED,Hyundai,Todoterreno,Kona,,,,,,,,,,,,,,,,,
45,2012,70000,6.9,Quito,Negociable,USED,BMW,Sedán,320i,,,,,,,,,,,,,,,,,
46,2022,0,6.99,Quito,Fijo,NEW,Mercedes Benz,Sedán,E350,,,,,,,,,,,,,,,,,
47,2014,22000,9.9,Quito,Fijo,USED,Chevrolet,Coupé,Camaro,,,,,,,,,,,,,,,,,
48,2018,85109,15.9,Quito,Negociable,USED,Kia,Sedán,Rio,,,,,,,,,,,,,,,,,
49,1998,256149,,Quito,Fijo,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
50,2017,39500,,Quito,Negociable,USED,Mercedes Benz,Sedán,CLA 200,,,,,,,,,,,,,,,,,
51,2002,363839,,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Gol Confortline 1.8,,,,,,,,,,,,,,,,,
52,2005,164917,,Quito,Fijo,USED,Chevrolet,Sedán,Optra,,,,,,,,,,,,,,,,,
53,2005,353680,,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 5P 4X4,,,,,,,,,,,,,,,,,
54,2014,152971,,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 XLT CD,#1720473,30000 Kms,,,,,,,,,,,,,,,
